time,temperature_2m_min,temperature_2m_max,precipitation_sum,ville,source
2023-03-28,16.5,26.0,15.2,Antananarivo,open-meteo
2023-03-29,16.9,24.7,9.3,Antananarivo,open-meteo
2023-03-30,16.4,24.8,22.5,Antananarivo,open-meteo
2023-03-31,16.0,25.6,8.6,Antananarivo,open-meteo
2023-04-01,15.3,25.4,0.5,Antananarivo,open-meteo
2023-04-02,15.9,25.6,23.2,Antananarivo,open-meteo
2023-04-03,16.3,25.6,8.7,Antananarivo,open-meteo
2023-04-04,15.2,24.6,6.0,Antananarivo,open-meteo
2023-04-05,15.5,24.9,15.9,Antananarivo,open-meteo
2023-04-06,16.7,23.1,6.8,Antananarivo,open-meteo
2023-04-07,15.8,24.4,7.7,Antananarivo,open-meteo
2023-04-08,14.8,25.1,0.4,Antananarivo,open-meteo
2023-04-09,14.9,24.4,18.7,Antananarivo,open-meteo
2023-04-10,13.7,24.9,7.3,Antananarivo,open-meteo
2023-04-11,14.0,24.9,0.8,Antananarivo,open-meteo
2023-04-12,15.4,25.7,0.5,Antananarivo,open-meteo
2023-04-13,16.1,23.9,7.8,Antananarivo,open-meteo
2023-04-14,15.3,24.7,0.9,Antananarivo,open-meteo
2023-04-15,15.2,25.4,21.8,Antananarivo,open-meteo
2023-04-16,14.7,24.4,1.9,Antananarivo,open-meteo
2023-04-17,14.9,23.3,0.3,Antananarivo,open-meteo
2023-04-18,14.7,24.1,0.6,Antananarivo,open-meteo
2023-04-19,15.1,23.6,2.7,Antananarivo,open-meteo
2023-04-20,16.4,24.0,2.6,Antananarivo,open-meteo
2023-04-21,15.3,25.3,1.4,Antananarivo,open-meteo
2023-04-22,15.3,25.5,0.9,Antananarivo,open-meteo
2023-04-23,14.2,25.4,3.3,Antananarivo,open-meteo
2023-04-24,13.2,24.6,0.2,Antananarivo,open-meteo
2023-04-25,10.9,26.2,0.0,Antananarivo,open-meteo
2023-04-26,15.1,25.2,0.0,Antananarivo,open-meteo
2023-04-27,16.9,23.8,0.4,Antananarivo,open-meteo
2023-04-28,13.4,23.5,0.0,Antananarivo,open-meteo
2023-04-29,12.5,23.2,0.0,Antananarivo,open-meteo
2023-04-30,12.2,24.2,0.0,Antananarivo,open-meteo
2023-05-01,15.1,24.2,0.0,Antananarivo,open-meteo
2023-05-02,15.4,24.8,0.0,Antananarivo,open-meteo
2023-05-03,16.0,22.1,2.5,Antananarivo,open-meteo
2023-05-04,15.6,22.5,1.1,Antananarivo,open-meteo
2023-05-05,14.3,24.0,0.0,Antananarivo,open-meteo
2023-05-06,14.1,23.8,0.0,Antananarivo,open-meteo
2023-05-07,13.4,22.4,2.5,Antananarivo,open-meteo
2023-05-08,12.3,22.9,1.5,Antananarivo,open-meteo
2023-05-09,13.4,21.8,1.1,Antananarivo,open-meteo
2023-05-10,14.9,22.4,0.0,Antananarivo,open-meteo
2023-05-11,13.9,22.7,0.7,Antananarivo,open-meteo
2023-05-12,15.3,23.9,0.0,Antananarivo,open-meteo
2023-05-13,15.8,23.7,0.8,Antananarivo,open-meteo
2023-05-14,16.2,23.3,2.2,Antananarivo,open-meteo
2023-05-15,15.5,24.1,1.7,Antananarivo,open-meteo
2023-05-16,12.1,23.6,0.8,Antananarivo,open-meteo
2023-05-17,11.2,24.6,0.0,Antananarivo,open-meteo
2023-05-18,14.1,24.2,0.0,Antananarivo,open-meteo
2023-05-19,12.3,24.5,0.0,Antananarivo,open-meteo
2023-05-20,12.6,25.0,0.0,Antananarivo,open-meteo
2023-05-21,11.6,25.0,0.0,Antananarivo,open-meteo
2023-05-22,10.9,24.6,0.0,Antananarivo,open-meteo
2023-05-23,9.1,23.6,0.0,Antananarivo,open-meteo
2023-05-24,13.3,22.7,0.0,Antananarivo,open-meteo
2023-05-25,12.1,21.2,5.2,Antananarivo,open-meteo
2023-05-26,10.0,20.9,0.1,Antananarivo,open-meteo
2023-05-27,13.2,20.9,0.0,Antananarivo,open-meteo
2023-05-28,12.8,22.0,0.0,Antananarivo,open-meteo
2023-05-29,11.4,23.0,0.0,Antananarivo,open-meteo
2023-05-30,14.0,22.0,0.0,Antananarivo,open-meteo
2023-05-31,13.5,23.3,0.0,Antananarivo,open-meteo
2023-06-01,11.8,21.4,0.0,Antananarivo,open-meteo
2023-06-02,11.7,21.6,0.0,Antananarivo,open-meteo
2023-06-03,11.9,19.8,1.1,Antananarivo,open-meteo
2023-06-04,12.4,21.0,0.3,Antananarivo,open-meteo
2023-06-05,11.9,21.5,0.7,Antananarivo,open-meteo
2023-06-06,10.3,22.2,0.2,Antananarivo,open-meteo
2023-06-07,13.1,22.4,0.0,Antananarivo,open-meteo
2023-06-08,15.0,22.7,0.1,Antananarivo,open-meteo
2023-06-09,13.6,23.4,0.0,Antananarivo,open-meteo
2023-06-10,12.4,22.5,0.0,Antananarivo,open-meteo
2023-06-11,13.7,22.6,0.0,Antananarivo,open-meteo
2023-06-12,11.8,21.9,0.0,Antananarivo,open-meteo
